item_id,region,week,units_sold
SKU-A,East,2025-01-06,100
SKU-A,East,2025-01-13,101
SKU-A,East,2025-01-20,-25
SKU-A,East,2025-01-27,100
SKU-A,East,2025-02-03,101
SKU-A,East,2025-02-10,102
SKU-A,East,2025-02-17,100
SKU-A,West,2025-01-06,90
SKU-A,West,2025-01-13,91
SKU-A,West,2025-01-20,92
SKU-A,West,2025-01-27,90
SKU-A,West,2025-02-03,91
SKU-A,West,2025-02-10,92
SKU-A,West,2025-02-17,90
SKU-B,East,2025-01-06,80
SKU-B,East,2025-01-13,81
SKU-B,East,2025-01-20,82
SKU-B,East,2025-01-27,80
SKU-B,East,2025-02-03,81
SKU-B,East,2025-02-10,82
SKU-B,East,2025-02-17,80
SKU-B,East,2025-02-24,81
SKU-B,East,2025-03-03,82
SKU-B,East,2025-03-17,81
SKU-B,East,2025-03-24,82
SKU-B,West,2025-01-06,70
SKU-B,West,2025-01-13,71
SKU-B,West,2025-01-20,0
SKU-B,West,2025-01-27,0
SKU-B,West,2025-02-03,0
SKU-B,West,2025-02-10,72
SKU-B,West,2025-02-17,70
SKU-B,West,2025-02-24,71
SKU-B,West,2025-03-03,72
SKU-B,West,2025-03-17,71
SKU-B,West,2025-03-24,72
SKU-C,East,2025-01-27,60
SKU-C,East,2025-02-03,61
SKU-C,East,2025-02-10,62
SKU-C,East,2025-02-17,60
SKU-C,East,2025-02-24,61
SKU-C,East,2025-03-03,62
SKU-C,East,2025-03-17,61
SKU-C,East,2025-03-24,62
SKU-C,West,2025-01-27,55
SKU-C,West,2025-02-03,56
SKU-C,West,2025-02-10,57
SKU-C,West,2025-02-17,55
SKU-C,West,2025-02-24,56
SKU-C,West,2025-03-03,57
SKU-C,West,2025-03-17,56
SKU-C,West,2025-03-24,57
SKU-B,East,2025-02-03,81
